feature,mean_abs_shap,sd,top10_freq
IndustryCode,1.098495941692115,0.06577787106017759,5
GPA4_2,0.8973203029170265,0.18541332763308654,5
CreditRate_2,0.2675056891256828,0.1184278618505119,4
GPA_min,0.25295999846934414,0.09534012622438927,4
SumScore,0.2525856412273507,0.024167283275330454,5
GPA_mean,0.24985678801526395,0.05274123181566966,4
CumWarnings,0.2178167596992043,0.035135134083911786,4
Region,0.21337898910794953,0.0324976542057799,5
EntranceScore_3,0.19731124543459183,0.024010768796966477,4
EntranceScore_1,0.18653495446540697,0.03042731131486137,2
EntranceScore_min,0.17081038616024835,0.0433362963267832,2
GPA_std,0.16455612714002157,0.03331035332547344,1
CumCreditsEarned,0.1600736733627998,0.03253781397879315,0
EntranceScore_2,0.15787464384724542,0.020195947651064614,0
GPA_trend,0.15156209565116294,0.01929576099093482,1
GPA_max,0.1465925835590282,0.02102034139599729,0
GPA4_1,0.14597668776437167,0.029164878662443928,0
EntranceScore_avg,0.14180947970189864,0.02900352875872534,0
CumCreditRate,0.13885730798687787,0.051756405501800266,2
CreditsEarnned_2,0.13107016361439677,0.06228592265223763,2
CreditsEarnned_1,0.0899082351951187,0.05498940510117683,0
CreditsRegistered_2,0.07337903865773668,0.01811609584782448,0
TermStatus_2,0.06713538612195692,0.02639113666598392,0
CumCreditsRegistered,0.06421639449391096,0.015351217814130074,0
CreditRate_1,0.049489590010199744,0.006140412906886409,0
RatingNum_2,0.04321988525820858,0.017474676210672332,0
Gender,0.042283971217547976,0.029309860312531584,0
CreditsRegistered_1,0.038507933988320274,0.010742079854532563,0
Religion,0.038325640484496125,0.03202225706015748,0
Rating_trend,0.022966229645997753,0.017941540126502037,0
Nation,0.015932900196140114,0.012549980554688159,0
Aspiration,0.012543241054019322,0.010565540095352594,0
RatingNum_1,0.0028958999038895678,0.003526737941742422,0
GPA_decline,0.002334435849447308,0.002213456619050397,0
TermStatus_1,0.0013306017555953585,0.0013765950833334025,0
LowGPA_HK1,0.001302721226219821,0.001385349409256082,0
