feature,real mean,syn mean,real std,syn std,real n unique,syn n unique,std ratio (syn/real)
Curricular units 2nd sem (credited),0.54,0.14,1.92,0.93,19,20,0.484
Curricular units 1st sem (credited),0.71,0.19,2.36,1.18,21,21,0.5
International,0.02,0.01,0.16,0.08,2,2,0.5
Educational special needs,0.01,0.0,0.11,0.06,2,2,0.545
Curricular units 1st sem (without evaluations),0.14,0.06,0.69,0.41,11,12,0.594
Curricular units 2nd sem (without evaluations),0.15,0.06,0.75,0.46,10,11,0.613
Mother's occupation,10.96,8.58,26.42,17.48,32,40,0.662
Father's occupation,11.03,8.88,25.26,16.81,46,56,0.665
Curricular units 1st sem (enrolled),6.27,5.89,2.48,1.67,23,24,0.673
Marital status,1.18,1.11,0.61,0.44,6,6,0.721
Curricular units 2nd sem (enrolled),6.23,5.93,2.2,1.63,22,22,0.741
Debtor,0.11,0.07,0.32,0.26,2,2,0.812
Previous qualification (grade),132.61,132.38,13.19,10.99,101,110,0.833
Curricular units 1st sem (evaluations),8.3,7.35,4.18,3.51,35,36,0.84
Previous qualification,4.58,3.66,10.22,8.63,17,21,0.844
Admission grade,126.98,125.36,14.48,12.56,620,668,0.867
Curricular units 1st sem (approved),4.71,4.18,3.09,2.69,23,23,0.871
Course,8856.64,9001.41,2063.57,1803.01,17,19,0.874
Curricular units 2nd sem (evaluations),8.06,7.23,3.95,3.5,30,31,0.886
Daytime/evening attendance,0.89,0.92,0.31,0.28,2,2,0.903
Age at enrollment,23.27,22.28,7.59,6.89,46,46,0.908
Curricular units 2nd sem (approved),4.44,4.01,3.01,2.77,20,21,0.92
Application order,1.73,1.64,1.31,1.23,8,8,0.939
Application mode,18.67,16.06,17.48,16.68,18,22,0.954
Gender,0.35,0.32,0.48,0.46,2,2,0.958
Tuition fees up to date,0.88,0.89,0.32,0.31,2,2,0.969
Father's qualification,22.28,23.42,15.34,14.92,34,39,0.973
Mother's qualification,19.56,19.84,15.6,15.4,29,35,0.987
Scholarship holder,0.25,0.25,0.43,0.43,2,2,1.0
Displaced,0.55,0.57,0.5,0.5,2,2,1.0
Curricular units 2nd sem (grade),10.23,9.63,5.21,5.55,786,1234,1.065
Curricular units 1st sem (grade),10.64,10.0,4.84,5.26,805,1206,1.087
