feature,Logistic Regression,SVC,Decision Tree,LightGBM,XGBoost,CatBoost,Mean rank
Curricular units 2nd sem (approved),1,1,1,1,1,1,1.0
Tuition fees up to date,4,4,2,3,2,3,3.0
Age at enrollment,6,6,5,4,7,5,5.5
Curricular units 1st sem (approved),3,3,12,6,3,6,5.5
Curricular units 2nd sem (enrolled),2,2,3,16,12,12,7.8
Course,10,15,12,2,8,2,8.2
Curricular units 2nd sem (grade),8,14,8,9,4,9,8.7
Mother's occupation,7,8,9,11,15,16,11.0
Curricular units 1st sem (grade),9,9,11,8,22,11,11.7
Curricular units 2nd sem (credited),5,5,4,19,11,27,11.8
Debtor,11,10,10,16,6,22,12.5
Mother's qualification,14,12,12,14,16,8,12.7
Scholarship holder,12,11,12,15,9,17,12.7
Curricular units 2nd sem (evaluations),18,18,12,12,13,13,14.3
Curricular units 1st sem (enrolled),19,28,12,13,5,14,15.2
Admission grade,32,30,7,4,20,7,16.7
Curricular units 1st sem (credited),13,7,12,25,21,25,17.2
Father's occupation,29,31,12,9,18,4,17.2
Application mode,24,25,12,19,14,10,17.3
Gender,16,16,12,21,23,19,17.8
Previous qualification,15,13,12,27,19,26,18.7
Father's qualification,20,20,12,24,17,20,18.8
Previous qualification (grade),30,29,12,6,24,15,19.3
Curricular units 1st sem (evaluations),31,32,6,18,10,21,19.7
Application order,23,21,12,21,25,18,20.0
Displaced,17,17,12,25,26,24,20.2
Marital status,21,19,12,31,29,23,22.5
Curricular units 1st sem (without evaluations),25,24,12,23,27,28,23.2
Curricular units 2nd sem (without evaluations),22,23,12,28,28,29,23.7
International,26,22,12,29,30,32,25.2
Daytime/evening attendance,27,27,12,30,30,30,26.0
Educational special needs,28,26,12,31,30,31,26.3
