feature,mean_abs_shap
Curricular units 2nd sem (approved),1.6139688934210488
Tuition fees up to date,0.6448967822384688
Course,0.46243255309121223
Curricular units 1st sem (approved),0.4040169397353162
Age at enrollment,0.3351831046916844
Curricular units 2nd sem (grade),0.3005704672286951
Father's occupation,0.2440296337466525
Unemployment rate,0.21107346640392544
Scholarship holder,0.18905936980174293
Curricular units 2nd sem (evaluations),0.18721005632194393
Mother's occupation,0.1870556224385126
Mother's qualification,0.17756859759325108
Admission grade,0.17614796057371512
Previous qualification (grade),0.17294532330947007
Curricular units 1st sem (grade),0.14244271188626273
Curricular units 2nd sem (enrolled),0.14229983909965224
Application mode,0.13909637495234614
Curricular units 1st sem (enrolled),0.13851957393161365
GDP,0.12561952439236873
Curricular units 1st sem (evaluations),0.12455537854369163
Gender,0.11953185198367045
Debtor,0.11901551736580863
Application order,0.11792278197096157
Displaced,0.10794786208904686
Curricular units 2nd sem (credited),0.09861208901950581
Inflation rate,0.08274342641600682
Father's qualification,0.04409644545777068
Curricular units 1st sem (credited),0.03235755202008452
Curricular units 1st sem (without evaluations),0.016791912614505453
Curricular units 2nd sem (without evaluations),0.012344058016686693
Previous qualification,0.009996644219604734
Daytime/evening attendance,0.005500853482717771
International,0.0005891599946973537
Educational special needs,0.0
Nationality,0.0
Marital status,0.0
