feature,mean_abs_shap
Curricular units 2nd sem (approved),1.3759620569803352
Tuition fees up to date,0.600306931672297
Curricular units 1st sem (approved),0.4598424702377607
Course,0.4387406454722037
Curricular units 2nd sem (grade),0.42122326222929746
Age at enrollment,0.34487498596746835
Father's occupation,0.22757697499293447
Curricular units 2nd sem (evaluations),0.19442412149358854
Unemployment rate,0.19108064385363388
Mother's occupation,0.18994821730775632
Scholarship holder,0.17676469977013573
Mother's qualification,0.16189509885246192
Curricular units 2nd sem (enrolled),0.16120108617004936
Previous qualification (grade),0.16080516765773564
Admission grade,0.15764499817764807
Application mode,0.1398337227629367
Curricular units 1st sem (grade),0.13690509015679098
Displaced,0.13311785439218085
Curricular units 1st sem (enrolled),0.13208890427993122
Application order,0.12982891563992224
GDP,0.12398454247524686
Gender,0.12360795781179791
Debtor,0.11548311782200274
Curricular units 1st sem (evaluations),0.11111369349639924
Inflation rate,0.09125352655657758
Curricular units 2nd sem (credited),0.07736672118283268
Father's qualification,0.05061471785458459
Curricular units 1st sem (credited),0.04365718207953085
Curricular units 2nd sem (without evaluations),0.01991269782430688
Curricular units 1st sem (without evaluations),0.014392950432684442
Previous qualification,0.007019102992252401
Daytime/evening attendance,0.0036005626824545008
International,0.0
Educational special needs,0.0
Nationality,0.0
Marital status,0.0
