feature,mean_abs_shap
GPA4_2,2.014119437378298
IndustryCode,0.886795807001123
CreditsEarnned_2,0.283714803635598
GPA4_1,0.2780417841213321
CreditsEarnned_1,0.21776986868123077
EntranceScore_1,0.20697295155782156
SumScore,0.19414025669690999
EntranceScore_3,0.16528724723479266
Region,0.16335691198077149
EntranceScore_2,0.14283681050358799
EnrollmentYear,0.0929366802764539
CreditsRegistered_2,0.05523045454762623
Religion,0.05458069426282634
CreditsRegistered_1,0.03369584528951981
Gender,0.029925708494934825
Nation,0.026185042539016636
Aspiration,0.014065767119348168
Rating_1,0.010773934139803064
Rating_2,0.0
