StudentID,Gender,Nation,Religion,Region,EnrollmentYear,EntranceScore_1,EntranceScore_2,EntranceScore_3,SumScore,Aspiration,IndustryCode,GPA4_1,Rating_1,CreditsRegistered_1,CreditsEarnned_1,GPA4_2,Rating_2,CreditsRegistered_2,CreditsEarnned_2,GPA4_3,Rating_3,CreditsRegistered_3,CreditsEarnned_3,GPA4_4,Rating_4,CreditsRegistered_4,CreditsEarnned_4,TermStatus_1,TermStatus_2,TermStatus_3,TermStatus_4,Drop
5057459401,N?,“ ?à,Khìng,1,2021,7.25,7.25,8.5,25.75,NV2,901,1.66,Y?u,19,13,0,Y?u,19,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1000354407,N?,Kinh,Khìng,2,2020,7.06,7.08,7.54,21.93,NV1,407,2.29,Trung bçnh,17,17,2.37,Trung bçnh,15,15,3.28,Gi?i,16,16,2.57,Kh†,21,21,0,0,0,0,0
1000357451,N?,Kinh,Khìng,2NT,2020,5.96,7.82,7.16,21.58,NV1,7512,2.93,Kh†,20,20,2.76,Kh†,17,17,2.47,Trung bçnh,17,17,2.63,Kh†,19,19,0,0,0,0,0
2002359403,N?,Kinh,Khìng,2NT,2020,6.75,7.02,6,20.27,NV1,903,1.5,Y?u,19,17,2.26,Trung bçnh,17,17,2.62,Kh†,17,17,2.52,Kh†,23,23,0,0,0,0,0
3003459403,N?,Kinh,Khìng,2NT,2021,7.6,6.75,7,21.85,NV2,903,3.47,Gi?i,19,19,3.47,Gi?i,17,17,3.42,Gi?i,18,18,3.53,Gi?i,18,18,0,0,0,0,0
3012457401,N?,Kinh,Khìng,2NT,2021,7.9,8.8,9.2,26.83,NV1,701,2.31,Trung bçnh,18,18,1.78,Y?u,23,20,1.63,Y?u,20,12,1.69,Y?u,21,18,0,0,0,0,0
3026359403,N?,Kinh,Khìng,2NT,2020,6.4,5.75,6.5,19.15,NV1,903,1.87,Y?u,19,19,1.91,Y?u,17,13,2.88,Kh†,17,17,2.83,Kh†,23,23,0,0,0,0,0
3033359401,N?,Kinh,Khìng,1,2020,8.25,7.75,7.75,24.5,NV1,901,2.45,Trung bçnh,19,19,2.87,Kh†,19,19,3.21,Gi?i,19,19,2.93,Kh†,20,20,0,0,0,0,0
7055459401,N?,Kinh,Khìng,1,2021,8.7,9.03,9.37,27.85,NV1,901,2.58,Kh†,19,19,2.85,Kh†,17,17,3.08,Kh†,25,25,3.56,Gi?i,17,17,0,0,0,0,0
8023351401,Nam,Kinh,Khìng,1,2020,9.2,8.5,9.3,27.5,NV1,101,2.53,Kh†,18,18,0,Y?u,18,0,0,0,0,0,0,0,0,0,0,1,1,1,1
68454404,N?,Kinh,Khìng,2,2021,7.2,6.75,4.8,19,NV1,4041,2.69,Kh†,16,16,2.26,Trung bçnh,17,14,2.61,Kh†,19,19,2.31,Trung bçnh,18,18,0,0,0,0,0
1000351405,Nam,Kinh,Khìng,2NT,2020,6.46,6.2,6.3,19.46,NV1,1053,1.67,Y?u,18,12,0.63,Y?u,19,8,2.38,Trung bçnh,24,24,0.74,Y?u,17,5,0,1,0,1,1
1000354404,N?,Kinh,Khìng,2NT,2020,6.3,6.3,5.3,18.4,NV1,4041,0.79,Y?u,17,6,1.97,Y?u,15,15,2.84,Kh†,19,19,1.62,Y?u,30,21,1,0,0,0,0
1000357401,N?,Kinh,Thiàn ch£a gi†o,2NT,2020,7,8.9,9.5,26.68,NV1,701,3.06,Kh†,18,18,3.66,Xu?t s?c,19,19,3.08,Kh†,18,18,3.3,Gi?i,20,20,0,0,0,0,0
1000451416,Nam,Kinh,Tìn gi†o kh†c,1,2021,7,7.2,6.8,21.75,NV1,1161,2.82,Kh†,19,19,0.38,Y?u,19.5,3.5,0.11,Y?u,18.5,1,0,Y?u,18,0,0,1,1,1,1
1000454406,Nam,Kinh,Khìng,2,2021,8.4,7.3,6.3,22.25,NV1,406,3.5,Gi?i,15,15,2.84,Kh†,16,16,2.23,Trung bçnh,15,15,3.05,Kh†,20,20,0,0,0,0,0
1027351416,Nam,Kinh,Khìng,2NT,2020,6.3,6.3,6.2,18.8,NV1,1161,1.23,Y?u,20.5,11.5,1.28,Y?u,20,14,2.31,Trung bçnh,13,10,1.24,Y?u,23.5,11.5,0,0,0,0,0
2000354404,Nam,Kinh,Khìng,2,2020,6.7,6.5,7.3,20.75,NV1,404,0.62,Y?u,17,6,0,Y?u,15,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2000356412,Nam,Kinh,Khìng,1,2020,6.1,6.5,7.4,20.75,NV1,612,1.44,Y?u,17,11,0.56,Y?u,18,4,2.09,Trung bçnh,22,18,1.19,Y?u,13,7,0,1,0,0,0
2000357452,Nam,Kinh,Khìng,2,2020,6.2,6.14,5.76,18.6,NV1,7522,1.14,Y?u,18,11,1.58,Y?u,19,15,2.68,Kh†,19,19,2.15,Trung bçnh,24,24,0,0,0,0,0
2000456412,Nam,Kinh,Khìng,2NT,2021,6.6,7.43,7.4,21.93,NV1,612,1.15,Y?u,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
2017359401,N?,Jrai,Khìng,1,2020,8.3,8.3,7.9,26.5,NV1,901,2.45,Trung bçnh,19,19,2.55,Kh†,19,19,2.95,Kh†,19,19,3.09,Kh†,17,17,0,0,0,0,0
