scope,model,metric,point,ci_lo,ci_hi,repeat_std
HK1,Logistic Regression,AUC,0.8463700809312728,0.832138410730718,0.8606496467316459,0.0015643525346176893
HK1,Logistic Regression,AP,0.5225921158128481,0.48858019941417813,0.5591142453926442,
HK1,Logistic Regression,Brier,0.15032259246676374,0.14559492116777267,0.15475780291236094,
HK1,Logistic Regression,F1,0.44108336264509324,0.4181761599396454,0.4638706115768514,
HK1,Logistic Regression,Precision,0.3136568284142071,0.2931118999323868,0.3338335296637395,
HK1,Logistic Regression,Recall,0.7428909952606635,0.7147729239288981,0.772943683925183,
HK1,Logistic Regression,Accuracy,0.784308402334736,0.7748065698384689,0.793403013438306,
HK1,Random Forest,AUC,0.8353583709993002,0.8212756480975171,0.8501377154863273,0.00225754398515304
HK1,Random Forest,AP,0.5110185305354464,0.47752116475840356,0.5463611110715082,
HK1,Random Forest,Brier,0.09980324627455804,0.09601736147576982,0.10331543867430408,
HK1,Random Forest,F1,0.4663625997719498,0.43612596553773025,0.49444627192982454,
HK1,Random Forest,Precision,0.44945054945054946,0.41676215950997925,0.4826141057260868,
HK1,Random Forest,Recall,0.48459715639810425,0.4496411055873922,0.5207208812192015,
HK1,Random Forest,Accuracy,0.8729469254784852,0.8653420659698656,0.8805483914754988,
HK1,LightGBM (mặc định),AUC,0.8436137022987563,0.8292162181762422,0.857433130659158,0.0031925789655125113
HK1,LightGBM (mặc định),AP,0.5365962460894456,0.5029238423631257,0.5707818257648272,
HK1,LightGBM (mặc định),Brier,0.08996760788545409,0.08553035407736974,0.09430317161976985,
HK1,LightGBM (mặc định),F1,0.47656691134952006,0.44643679153559085,0.5047985038048864,
HK1,LightGBM (mặc định),Precision,0.4552319309600863,0.4222180982679392,0.4868449656750572,
HK1,LightGBM (mặc định),Recall,0.5,0.4651379010290557,0.5358453504005221,
HK1,LightGBM (mặc định),Accuracy,0.8741685896565766,0.8664313831953305,0.8817700556535903,
HK1,LightGBM (tinh chỉnh),AUC,0.8436137022987563,0.8292162181762422,0.857433130659158,0.0031925789655125113
HK1,LightGBM (tinh chỉnh),AP,0.5365962460894456,0.5029238423631257,0.5707818257648272,
HK1,LightGBM (tinh chỉnh),Brier,0.08996760788545409,0.08553035407736974,0.09430317161976985,
HK1,LightGBM (tinh chỉnh),F1,0.47656691134952006,0.44643679153559085,0.5047985038048864,
HK1,LightGBM (tinh chỉnh),Precision,0.4552319309600863,0.4222180982679392,0.4868449656750572,
HK1,LightGBM (tinh chỉnh),Recall,0.5,0.4651379010290557,0.5358453504005221,
HK1,LightGBM (tinh chỉnh),Accuracy,0.8741685896565766,0.8664313831953305,0.8817700556535903,
HK1-2,Logistic Regression,AUC,0.927756163706993,0.9146911043206686,0.939841113011283,0.0014716018496967935
HK1-2,Logistic Regression,AP,0.7183467492030359,0.681305506856064,0.7527405778561028,
HK1-2,Logistic Regression,Brier,0.08717196019756343,0.0829055724967551,0.09142119521988253,
HK1-2,Logistic Regression,F1,0.49292452830188677,0.46428410359934713,0.5224698935004507,
HK1-2,Logistic Regression,Precision,0.35514018691588783,0.3296968283316132,0.3819422101701752,
HK1-2,Logistic Regression,Recall,0.8053949903660886,0.7705148430640913,0.8397571526229085,
HK1-2,Logistic Regression,Accuracy,0.8777367074210976,0.8700597099800966,0.8852750924083025,
HK1-2,Random Forest,AUC,0.9211891337169152,0.907815008467492,0.9338003421134383,0.0015703275153027675
HK1-2,Random Forest,AP,0.6889153042463733,0.6485826142075592,0.7278676321558961,
HK1-2,Random Forest,Brier,0.04583220214618491,0.042336670294421015,0.049214243122407984,
HK1-2,Random Forest,F1,0.6448508180943214,0.6096003909928396,0.6781622292773394,
HK1-2,Random Forest,Precision,0.6442307692307693,0.601995871559633,0.683930728890069,
HK1-2,Random Forest,Recall,0.6454720616570327,0.6047396690766464,0.6865453296703297,
HK1-2,Random Forest,Accuracy,0.9475405174864941,0.9422803525732159,0.9528006823997726,
HK1-2,LightGBM (mặc định),AUC,0.9203092906986543,0.9067876957020518,0.9330588961139213,0.002927640401404737
HK1-2,LightGBM (mặc định),AP,0.7039364072437237,0.6659675611428945,0.7410843361554795,
HK1-2,LightGBM (mặc định),Brier,0.03951070762240254,0.03563379768212489,0.04343044828040322,
HK1-2,LightGBM (mặc định),F1,0.6494845360824743,0.6124279224183121,0.684162432792384,
HK1-2,LightGBM (mặc định),Precision,0.6984478935698448,0.655932807684742,0.7407427405807535,
HK1-2,LightGBM (mặc định),Recall,0.6069364161849711,0.5648708443832325,0.650200055134069,
HK1-2,LightGBM (mặc định),Accuracy,0.9516633494455502,0.9466839636053455,0.9567813477395507,
HK1-2,LightGBM (tinh chỉnh),AUC,0.9203092906986543,0.9067876957020518,0.9330588961139213,0.002927640401404737
HK1-2,LightGBM (tinh chỉnh),AP,0.7039364072437237,0.6659675611428945,0.7410843361554795,
HK1-2,LightGBM (tinh chỉnh),Brier,0.03951070762240254,0.03563379768212489,0.04343044828040322,
HK1-2,LightGBM (tinh chỉnh),F1,0.6494845360824743,0.6124279224183121,0.684162432792384,
HK1-2,LightGBM (tinh chỉnh),Precision,0.6984478935698448,0.655932807684742,0.7407427405807535,
HK1-2,LightGBM (tinh chỉnh),Recall,0.6069364161849711,0.5648708443832325,0.650200055134069,
HK1-2,LightGBM (tinh chỉnh),Accuracy,0.9516633494455502,0.9466839636053455,0.9567813477395507,
