scope,model,metric,point,ci_lo,ci_hi,repeat_std
HK1,Logistic Regression,AUC,0.846373168801899,0.8321340751516288,0.8606565972313877,0.0015629136348269742
HK1,Logistic Regression,AP,0.522596166346513,0.4885626789633781,0.5591191810544018,
HK1,Logistic Regression,Brier,0.150322819586707,0.1455963195939477,0.1547579003638333,
HK1,Logistic Regression,F1,0.44108336264509324,0.4181761599396454,0.4638706115768514,
HK1,Logistic Regression,Precision,0.3136568284142071,0.2931118999323868,0.3338335296637395,
HK1,Logistic Regression,Recall,0.7428909952606635,0.7147729239288981,0.772943683925183,
HK1,Logistic Regression,Accuracy,0.784308402334736,0.7748065698384689,0.793403013438306,
HK1,Random Forest,AUC,0.8353709041212538,0.8213477014442555,0.8501004500022166,0.0022032511852163763
HK1,Random Forest,AP,0.511202262735941,0.4776158666957633,0.5465466159226118,
HK1,Random Forest,Brier,0.09977949303742151,0.09599247169996784,0.10330162169996876,
HK1,Random Forest,F1,0.4662857142857143,0.43574565359038464,0.49469745421321487,
HK1,Random Forest,Precision,0.4503311258278146,0.4168515178931667,0.48323892321916756,
HK1,Random Forest,Recall,0.4834123222748815,0.4484707629174842,0.5187990530528513,
HK1,Random Forest,Accuracy,0.8732184064069499,0.8656169404099362,0.8808232659155695,
HK1,LightGBM (mặc định),AUC,0.8436137022987563,0.8292162181762422,0.857433130659158,0.0031925789655125113
HK1,LightGBM (mặc định),AP,0.5365962460894456,0.5029238423631257,0.5707818257648272,
HK1,LightGBM (mặc định),Brier,0.08996760788545409,0.08553035407736974,0.09430317161976985,
HK1,LightGBM (mặc định),F1,0.47656691134952006,0.44643679153559085,0.5047985038048864,
HK1,LightGBM (mặc định),Precision,0.4552319309600863,0.4222180982679392,0.4868449656750572,
HK1,LightGBM (mặc định),Recall,0.5,0.4651379010290557,0.5358453504005221,
HK1,LightGBM (mặc định),Accuracy,0.8741685896565766,0.8664313831953305,0.8817700556535903,
HK1,LightGBM (tinh chỉnh),AUC,0.8436137022987563,0.8292162181762422,0.857433130659158,0.0031925789655125113
HK1,LightGBM (tinh chỉnh),AP,0.5365962460894456,0.5029238423631257,0.5707818257648272,
HK1,LightGBM (tinh chỉnh),Brier,0.08996760788545409,0.08553035407736974,0.09430317161976985,
HK1,LightGBM (tinh chỉnh),F1,0.47656691134952006,0.44643679153559085,0.5047985038048864,
HK1,LightGBM (tinh chỉnh),Precision,0.4552319309600863,0.4222180982679392,0.4868449656750572,
HK1,LightGBM (tinh chỉnh),Recall,0.5,0.4651379010290557,0.5358453504005221,
HK1,LightGBM (tinh chỉnh),Accuracy,0.8741685896565766,0.8664313831953305,0.8817700556535903,
HK1-2,Logistic Regression,AUC,0.927739601956061,0.914683196024178,0.9398237734890529,0.0014682297228067985
HK1-2,Logistic Regression,AP,0.7183613075243221,0.6814236333284388,0.7527687306358676,
HK1-2,Logistic Regression,Brier,0.08717600065608652,0.08291135314687346,0.09142321375906011,
HK1-2,Logistic Regression,F1,0.4923439340400471,0.46382054798203864,0.5214846284211513,
HK1-2,Logistic Regression,Precision,0.35453774385072095,0.32914907561791507,0.3812957487413211,
HK1-2,Logistic Regression,Recall,0.8053949903660886,0.7705148430640913,0.8397571526229085,
HK1-2,Logistic Regression,Accuracy,0.877452374182542,0.869775376741541,0.8849907591697469,
HK1-2,Random Forest,AUC,0.9212033295034284,0.9077268453692472,0.9338996606206484,0.0017871909261595073
HK1-2,Random Forest,AP,0.6891973537957133,0.6491091487115089,0.7280802967829719,
HK1-2,Random Forest,Brier,0.04583086262640558,0.042342758415820324,0.04920607256902586,
HK1-2,Random Forest,F1,0.6448508180943214,0.6096003909928396,0.6781622292773394,
HK1-2,Random Forest,Precision,0.6442307692307693,0.601995871559633,0.683930728890069,
HK1-2,Random Forest,Recall,0.6454720616570327,0.6047396690766464,0.6865453296703297,
HK1-2,Random Forest,Accuracy,0.9475405174864941,0.9422803525732159,0.9528006823997726,
HK1-2,LightGBM (mặc định),AUC,0.9203092906986543,0.9067876957020518,0.9330588961139213,0.002927640401404737
HK1-2,LightGBM (mặc định),AP,0.7039364072437237,0.6659675611428945,0.7410843361554795,
HK1-2,LightGBM (mặc định),Brier,0.03951070762240254,0.03563379768212489,0.04343044828040322,
HK1-2,LightGBM (mặc định),F1,0.6494845360824743,0.6124279224183121,0.684162432792384,
HK1-2,LightGBM (mặc định),Precision,0.6984478935698448,0.655932807684742,0.7407427405807535,
HK1-2,LightGBM (mặc định),Recall,0.6069364161849711,0.5648708443832325,0.650200055134069,
HK1-2,LightGBM (mặc định),Accuracy,0.9516633494455502,0.9466839636053455,0.9567813477395507,
HK1-2,LightGBM (tinh chỉnh),AUC,0.9203092906986543,0.9067876957020518,0.9330588961139213,0.002927640401404737
HK1-2,LightGBM (tinh chỉnh),AP,0.7039364072437237,0.6659675611428945,0.7410843361554795,
HK1-2,LightGBM (tinh chỉnh),Brier,0.03951070762240254,0.03563379768212489,0.04343044828040322,
HK1-2,LightGBM (tinh chỉnh),F1,0.6494845360824743,0.6124279224183121,0.684162432792384,
HK1-2,LightGBM (tinh chỉnh),Precision,0.6984478935698448,0.655932807684742,0.7407427405807535,
HK1-2,LightGBM (tinh chỉnh),Recall,0.6069364161849711,0.5648708443832325,0.650200055134069,
HK1-2,LightGBM (tinh chỉnh),Accuracy,0.9516633494455502,0.9466839636053455,0.9567813477395507,
